,,AVGCA RADIO CALL SIGN - EPIRB HEX NO & MMSI NO DATA BASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ACMA ,Type of,ACMA,ACMA,CG,New,,,Licence,,DSC VHF,Station Aerials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,Location,Call Sign,Station,Licence,SITE ID,DOM,DOM,EPIRB,HEX No,Expire,MMSI No,Operative,Checked,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG08,Life Jacket EPIRB,PLB-5,,,,,,0140502381M,3EF705A1BF81FE0,J165,,,Done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG08,Life Jacket EPIRB,PLB-6,,,,,,0140502382M,3EF705A23F81FE0,J0004,,,Done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF9 ,Queenscliff,VMR 369,LCMR,348647,47797,1307310,1965226,,,22-Feb-12,005030122,,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF9 ,Lonsdale Light/H,VZR 721,LCMR,1959403,141119,1959405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG09 ,,VK 3314,SSCBNA,348634,,,,1701469706,BEEE5CAB28003DD,22-Feb-12,503164200,YES,,BEEE6    4D1D8   00259 OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG09 ,Life Jacket EPIRB,PLB-1,,,,,,0140502383M,3EF705A2BF81FE0,J10,,,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG09 ,Life Jacket EPIRB,PLB-2,,,,,,0140502384M,3EF705A33F81FE0,J169,,,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG09 ,Life Jacket EPIRB,PLB-3,,,,,,0140502385M,3EF705A3BF81FE0,J144,,,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG09 ,Life Jacket EPIRB,PLB-4,,,,,,0140502386M,3EF705A43F81FE0,J13,,,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG09 ,Life Jacket EPIRB,PLB-5,,,,,,0140502387M,3EF705A4BF81FE0,J55,,,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG09 ,Life Jacket EPIRB,PLB-6,,,,,,0140502388M,3EF705A53F81FE0,J204,,,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG09 ,Life Jacket EPIRB,PLB-7,,,,,,0141212040Q,3EEE825E10FFBFF,J527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG09 ,Life Jacket EPIRB,PLB-8,,,,,,0141212047Q,3EEE825E1EFFBFF,J626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG09 ,Life Jacket EPIRB,PLB-9,,,,,,0141212049Q,3EEE825E22FFBFF,J647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG09 ,Life Jacket EPIRB,PLB-10,,,,,,0141212136Q,3EEE825ED0FFBFF,J667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
